A=6148 B=8246 C=5724 X=759042343 Y=6103016685 Z=17629162868 M=8639
A=6251 B=6201 C=7182 X=579289417 Y=9631326965 Z=43060970063 M=7535
A=8229 B=7513 C=7619 X=929882407 Y=4763525491 Z=47432439785 M=5615
A=9637 B=4745 C=9902 X=817626905 Y=6377350378 Z=30198192380 M=5029
A=8542 B=4705 C=7746 X=635501065 Y=7832639695 Z=41784967520 M=7878
A=6728 B=4370 C=9102 X=148232537 Y=6491260308 Z=27668233926 M=2559
A=7413 B=6607 C=5204 X=926031584 Y=1495485121 Z=45391182274 M=8808
A=3709 B=9527 C=6864 X=924697909 Y=2115361038 Z=29855084448 M=1675
A=8376 B=9496 C=7348 X=784659781 Y=6371126329 Z=68230718797 M=9560
A=3948 B=8254 C=5906 X=354043146 Y=4150684399 Z=88487224640 M=8063
A=8445 B=9527 C=7824 X=545266428 Y=8581531221 Z=44349839714 M=4928
A=5472 B=4499 C=8223 X=454281689 Y=5442261455 Z=46769772268 M=1725
A=2255 B=3310 C=5187 X=412878785 Y=9581086683 Z=53753805422 M=7634
A=5464 B=3692 C=8090 X=641520059 Y=3212130316 Z=45169130780 M=8342
A=9761 B=5293 C=5166 X=874929341 Y=7362183357 Z=10096871269 M=2536
A=6145 B=8043 C=5884 X=838956250 Y=8670342672 Z=10552361352 M=1473
A=4866 B=9711 C=7415 X=949593390 Y=1377470807 Z=61585700847 M=1472
A=4477 B=9740 C=6112 X=252111370 Y=1034211775 Z=39291660442 M=5833
A=6022 B=6363 C=5010 X=187136758 Y=9761304777 Z=98737119932 M=3544
A=5891 B=4907 C=8186 X=294612724 Y=6596787200 Z=26614957780 M=2926
A=7408 B=7756 C=8084 X=107807971 Y=2474427597 Z=26520315486 M=3920
A=7663 B=4482 C=8199 X=288142636 Y=5071346270 Z=95798238198 M=3486
A=8267 B=7902 C=7824 X=565157819 Y=9811163102 Z=84970567209 M=8713
A=4240 B=4678 C=6292 X=527735596 Y=7480223580 Z=61387385029 M=7141
A=4463 B=6691 C=5231 X=550801134 Y=3660168001 Z=50201546699 M=1912
A=2038 B=3262 C=6588 X=941560848 Y=9671867131 Z=35518802739 M=6685
A=4840 B=6902 C=5976 X=558947307 Y=7095604428 Z=88779105726 M=8476
A=3342 B=4183 C=9440 X=261181991 Y=2907476109 Z=97525730948 M=4085
A=2119 B=6067 C=7039 X=966039866 Y=1045004054 Z=75464322978 M=8770
A=5929 B=5617 C=5473 X=842559751 Y=2923574637 Z=92314995838 M=9667
A=7306 B=8098 C=7999 X=605952952 Y=7813525697 Z=44041005865 M=2761
A=4666 B=3536 C=6457 X=749061509 Y=5181528556 Z=13113467587 M=4732
A=6149 B=5717 C=5498 X=143724144 Y=6300862929 Z=17140466882 M=9104
A=7388 B=7295 C=6121 X=176742675 Y=1227172123 Z=29500986845 M=7883
A=7084 B=5352 C=8900 X=391548705 Y=6406268669 Z=44851027508 M=9166
A=4691 B=5408 C=8581 X=280058510 Y=7354657784 Z=82234077818 M=1583
A=8722 B=5656 C=7766 X=827903300 Y=3409457472 Z=54447593515 M=7734
A=5219 B=9024 C=5481 X=682459531 Y=9915519278 Z=74243471382 M=7109
A=8225 B=8187 C=9693 X=547810070 Y=3320812993 Z=60804958251 M=5088
A=7844 B=8636 C=8471 X=582157348 Y=2555543777 Z=30229770210 M=4451
A=6698 B=8533 C=8345 X=419068914 Y=8588338475 Z=36477616328 M=8089
A=9676 B=7741 C=5693 X=343900279 Y=1857278456 Z=54117421349 M=3247
A=6696 B=5388 C=7635 X=295588727 Y=9130736435 Z=20410866066 M=3770
A=8400 B=3912 C=6811 X=802546720 Y=6163802970 Z=56353345874 M=1542
A=6627 B=6920 C=9308 X=770537696 Y=7893507820 Z=26565775009 M=1180
A=6264 B=8044 C=9889 X=787960654 Y=5529785426 Z=33314603721 M=5017
A=8597 B=3240 C=5018 X=343853895 Y=7551709987 Z=26631616444 M=1961
A=2700 B=6090 C=6828 X=513994080 Y=1703043537 Z=53543855580 M=5974
A=2238 B=9375 C=7867 X=934271187 Y=7198683891 Z=45884641328 M=5272
A=4713 B=5923 C=7005 X=236515205 Y=2018379230 Z=96467847438 M=9320
A=8578 B=3112 C=5494 X=738624270 Y=4462362483 Z=15482173267 M=9981
A=7252 B=6902 C=7727 X=737143361 Y=2160988939 Z=22681694990 M=6632
A=8637 B=9349 C=5635 X=557742723 Y=7529367385 Z=34885608924 M=3472
A=2455 B=3140 C=5802 X=194799887 Y=9534329216 Z=19818476672 M=4256
A=3184 B=9789 C=8995 X=245231940 Y=9354822157 Z=36679133800 M=7224
A=5772 B=7339 C=8708 X=739846089 Y=4835163367 Z=89975869016 M=3515
A=4633 B=5753 C=8801 X=849724174 Y=6943509760 Z=69914179410 M=4655
A=8523 B=5933 C=7675 X=302640371 Y=2258153886 Z=81550642461 M=1594
A=7291 B=5712 C=9831 X=579874823 Y=1699177661 Z=64969589757 M=4657
A=8751 B=9387 C=7802 X=213709395 Y=4578104782 Z=44771705795 M=5773
A=6294 B=5077 C=8304 X=857028206 Y=5903664061 Z=39334833056 M=1381
A=7172 B=7252 C=8233 X=390545330 Y=6783963986 Z=23772875449 M=5139
A=6783 B=7459 C=6252 X=484015423 Y=8668550354 Z=25772639383 M=6747
A=6440 B=5590 C=6424 X=436555074 Y=9811660678 Z=79117240401 M=1720
A=6848 B=9013 C=7155 X=833458596 Y=4972509555 Z=68600982401 M=3562
A=9449 B=4252 C=6498 X=825331871 Y=1089181937 Z=22414171503 M=4944
A=2481 B=4999 C=7828 X=488176171 Y=7841372213 Z=34401319003 M=3189
A=4981 B=8432 C=7911 X=946624474 Y=5786317131 Z=18894344126 M=2004
A=3873 B=7630 C=7336 X=951459919 Y=7203407853 Z=28029726719 M=8488
A=5900 B=7520 C=9628 X=137656589 Y=1096056320 Z=87431761091 M=5303
A=6540 B=5994 C=5296 X=874470529 Y=2515472803 Z=65087092285 M=2643
A=6505 B=3292 C=5654 X=576533666 Y=1470808257 Z=13974950274 M=2154
A=9016 B=3761 C=9298 X=873840079 Y=2219559595 Z=85213169909 M=2595
A=8846 B=5002 C=9644 X=691679595 Y=7511287136 Z=96581817178 M=2275
A=2104 B=4404 C=7264 X=681083279 Y=6306760784 Z=14167238959 M=6744
A=3859 B=9619 C=7074 X=660276445 Y=4963019206 Z=76049563627 M=2221
A=6700 B=8818 C=9212 X=401295457 Y=4580555516 Z=68938040862 M=9406
A=5908 B=8154 C=9273 X=212574171 Y=2321160934 Z=60396685312 M=7721
A=9532 B=6664 C=5204 X=949219587 Y=8189815198 Z=84148202991 M=5839
A=3583 B=5627 C=5899 X=234680975 Y=8220685259 Z=29317735603 M=5120
A=2290 B=9584 C=9519 X=752749078 Y=8310848592 Z=84664665719 M=7300
A=3787 B=8153 C=7210 X=341975401 Y=6886949206 Z=79522802186 M=2442
A=4952 B=8116 C=8153 X=813650309 Y=6429931038 Z=70902588114 M=1790
A=9840 B=4929 C=6587 X=605290876 Y=6282221071 Z=54595558260 M=5148
A=2792 B=9476 C=5777 X=395333209 Y=4599113404 Z=73860477502 M=7456
A=7317 B=9579 C=7929 X=249522152 Y=1323373818 Z=41636864143 M=7655
A=7595 B=3078 C=5432 X=649895539 Y=2116999922 Z=56216147799 M=7208
A=4606 B=5021 C=8734 X=718356339 Y=1295866578 Z=58506169150 M=6253
A=5419 B=5428 C=8486 X=488175519 Y=2701271506 Z=76889044904 M=9992
A=8106 B=6948 C=9997 X=520373818 Y=6217277054 Z=43340368605 M=9566
A=2036 B=8195 C=7205 X=316797999 Y=8089184083 Z=38863701987 M=2680
A=4104 B=3250 C=8803 X=735566275 Y=9895824549 Z=49857687817 M=4485
A=9493 B=6507 C=6015 X=169476329 Y=6983453411 Z=34267780732 M=5775
A=8408 B=4313 C=8153 X=277961720 Y=6053068645 Z=68236698176 M=3895
A=2749 B=3617 C=8346 X=302830053 Y=5216748593 Z=30561484421 M=4259
A=2199 B=5705 C=6367 X=917898978 Y=2186293073 Z=89752041050 M=9912
A=2075 B=3020 C=5994 X=742320164 Y=2303278128 Z=43982104507 M=7812
A=6575 B=4002 C=7944 X=179672611 Y=9059707240 Z=39778482968 M=4811
A=4767 B=3321 C=5823 X=563772473 Y=9653810329 Z=81607644763 M=7196
A=4105 B=6253 C=8602 X=132580433 Y=6388354147 Z=45080705184 M=1856
A=3162 B=7299 C=7473 X=360920364 Y=3619944307 Z=89458651420 M=2591
A=5871 B=7620 C=9539 X=734327700 Y=2200060263 Z=71903984772 M=4406
A=5468 B=8585 C=8856 X=903837261 Y=2902067676 Z=16333281930 M=8463
A=4643 B=4876 C=6622 X=770266230 Y=9850969081 Z=77153550957 M=5446
A=9938 B=7263 C=7598 X=144040972 Y=7532827260 Z=58302796310 M=7428
A=8366 B=7566 C=6250 X=313086826 Y=1186676323 Z=35420097905 M=5403
A=6469 B=7528 C=6395 X=979082084 Y=2118340418 Z=29456659782 M=4822
A=7060 B=3391 C=6094 X=794205102 Y=7689581893 Z=93834503020 M=2685
A=9163 B=5077 C=6395 X=152057679 Y=8903039240 Z=78884711347 M=5004
A=2799 B=4300 C=8592 X=658061867 Y=2393841171 Z=46008263602 M=1138
A=4206 B=9270 C=9074 X=937957777 Y=4563107354 Z=57146117342 M=4022
A=7357 B=6112 C=8250 X=182465817 Y=9438640264 Z=55093728852 M=8039
A=4418 B=4414 C=5751 X=747075213 Y=4918455536 Z=34508132744 M=8809
A=7333 B=3797 C=8118 X=466190794 Y=6222468985 Z=80952770049 M=8665
A=6601 B=4266 C=9713 X=881974905 Y=3087967565 Z=96031832062 M=8493
A=2003 B=6368 C=9731 X=707532040 Y=6266070977 Z=24518846523 M=5790
A=8609 B=4740 C=5470 X=423709489 Y=3486618963 Z=47612101650 M=9826
A=9486 B=3603 C=8403 X=410946518 Y=4426266009 Z=65206222293 M=3938
A=3758 B=8166 C=5384 X=803465314 Y=3778388550 Z=22015772469 M=2814
A=3117 B=6598 C=8378 X=322277781 Y=7953367503 Z=82489652776 M=1330
A=9766 B=8058 C=6628 X=886990882 Y=3564018764 Z=64508479777 M=4479
A=2568 B=8651 C=6023 X=518361514 Y=9582067397 Z=84830681721 M=1603
A=7563 B=7598 C=8845 X=892491458 Y=6337384529 Z=23382242056 M=9355
A=2401 B=4335 C=7573 X=862925440 Y=9357274182 Z=77099745524 M=9408
A=5963 B=6578 C=7058 X=734620959 Y=2741473098 Z=94169663638 M=6826
A=7883 B=4488 C=7575 X=997943699 Y=7252552189 Z=94077558984 M=8405
A=6177 B=3068 C=7804 X=725292872 Y=7556116906 Z=40307262357 M=3821
A=7981 B=9677 C=6728 X=273613794 Y=8457246640 Z=92672619600 M=8803
A=6591 B=8699 C=9371 X=969546758 Y=3955661961 Z=88728566963 M=9021
A=7523 B=7340 C=7758 X=151639534 Y=6495652213 Z=57295680282 M=5928
A=8822 B=7639 C=6928 X=501397726 Y=1394047106 Z=13343231820 M=8993
A=5923 B=8539 C=8346 X=902761341 Y=5848030562 Z=58470927764 M=1208
A=5083 B=4819 C=9271 X=978900023 Y=4916612906 Z=50096336973 M=5325
A=6694 B=3235 C=7136 X=690220800 Y=9673224183 Z=37453472037 M=9902
A=6267 B=5102 C=9373 X=902278506 Y=6022027377 Z=75786541494 M=9681
A=6003 B=3706 C=7936 X=981215931 Y=9002693320 Z=14326394434 M=8477
A=7264 B=6845 C=5329 X=858842699 Y=9071150703 Z=10126600386 M=6831
